Customer_ID,Customer_Name,Gender,Age,Date_of_Birth,Marital_Status,Education,Occupation,Employment_Type,Employer_Name,Annual_Income,Income_Group,Customer_Segment,Account_Type,Existing_Loans,Dependents,Credit_Card_Holder,Years_With_Bank,Customer_Status,Join_Date
CUST00036,Orinder Sekhon,Male,37,1988-10-26,Married,High School,Student,Salaried,"Palla, Patla and Buch",167529,Low,Retail,Savings,0,3,No,11,Active,2015-07-27
CUST00037,Charan Karan,Male,44,1982-08-02,Married,Post Graduate,IT Professional,Salaried,Hegde-Nazareth,1036872,High,Platinum,Savings,0,1,Yes,10,Active,2016-07-26
CUST00038,Wyatt Agarwal,Male,54,1971-09-05,Single,Post Graduate,Business Owner,Business,Padmanabhan-Chad,2768890,Premium,Corporate,Salary,0,5,Yes,16,Active,2010-07-28
CUST00039,Sara Iyengar,Female,63,1962-09-22,Married,Graduate,Business Owner,Business,Gokhale-Saraf,2961051,Premium,Corporate,Current,2,0,Yes,19,Active,2007-07-29
CUST00040,Caleb Randhawa,Male,48,1978-06-13,Married,Graduate,IT Professional,Salaried,Ratti-Chad,730173,Middle,Gold,Salary,1,0,No,8,Active,2018-07-26
CUST00041,Harinakshi Datta,Female,44,1981-11-03,Married,Graduate,Banker,Salaried,Dora PLC,867452,Middle,Gold,Current,0,1,Yes,9,Active,2017-07-26
CUST00042,Eta Som,Female,43,1983-01-21,Married,Post Graduate,Teacher,Salaried,"Palla, Dugal and Deep",414024,Low,Retail,Salary,0,1,No,7,Active,2019-07-26
CUST00043,Advika Chauhan,Female,37,1988-10-16,Married,Graduate,Engineer,Salaried,"Dewan, Saraf and Hayer",1175979,High,Platinum,Savings,1,2,No,7,Active,2019-07-26
CUST00044,Akshay Krishnamurthy,Male,29,1996-10-23,Married,PhD,Retired,Salaried,Master PLC,364726,Low,Retail,Savings,4,3,No,11,Active,2015-07-27
CUST00045,Omaja Lad,Female,66,1960-07-02,Married,High School,Business Owner,Business,"Saini, Deep and Bhat",3017617,Premium,Corporate,Savings,1,0,No,21,Active,2005-07-29
CUST00046,Vasudha Varughese,Female,43,1983-07-23,Married,Post Graduate,Government Employee,Government,Thaker-De,730276,Middle,Gold,Salary,0,2,Yes,14,Active,2012-07-27
CUST00047,Aditya Sarraf,Male,54,1972-01-16,Married,Post Graduate,Banker,Salaried,Agrawal and Sons,1072751,High,Platinum,Savings,0,3,Yes,12,Active,2014-07-27
CUST00048,Ekavir Solanki,Male,36,1990-07-09,Married,High School,Government Employee,Government,"Dara, Bhatia and Nanda",826684,Middle,Gold,Savings,1,2,Yes,9,Active,2017-07-26
CUST00049,Damyanti Bhandari,Female,41,1985-07-20,Single,Graduate,Student,Salaried,Halder LLC,245595,Low,Retail,Salary,0,5,No,23,Active,2003-07-30
CUST00050,Chavvi Tripathi,Female,49,1977-03-12,Married,Post Graduate,Business Owner,Business,Bala-Bhatnagar,1985406,High,Platinum,Savings,0,5,No,10,Active,2016-07-26
CUST00051,Nicholas Tiwari,Male,43,1982-08-27,Married,High School,IT Professional,Salaried,"Vala, Iyengar and Malhotra",832251,Middle,Gold,Premium,1,3,No,16,Closed,2010-07-28
CUST00052,William Tripathi,Male,30,1996-04-24,Married,High School,Business Owner,Business,Virk LLC,2181459,Premium,Corporate,Savings,0,0,No,12,Active,2014-07-27
CUST00053,Vanya Devan,Female,33,1993-03-16,Married,High School,Teacher,Salaried,Dara-Ramanathan,690305,Middle,Gold,Savings,1,1,Yes,15,Active,2011-07-28
CUST00054,Nakul Bora,Male,40,1985-12-18,Married,Diploma,Self-Employed,Self-Employed,"Khosla, Sangha and Bora",1656989,High,Platinum,Savings,2,3,No,14,Active,2012-07-27
CUST00055,Max Das,Male,66,1959-11-13,Single,PhD,Doctor,Salaried,Pau and Sons,1557769,High,Platinum,Savings,4,0,No,17,Active,2009-07-28
CUST00056,Ekantika Sibal,Female,21,2005-05-26,Single,Diploma,Student,Salaried,Chandra Group,213714,Low,Retail,Savings,1,4,No,3,Active,2023-07-25
CUST00057,Finn Kapur,Male,27,1998-11-05,Single,Post Graduate,IT Professional,Salaried,Sankar PLC,860876,Middle,Gold,Current,0,2,No,1,Active,2025-07-24
CUST00058,Omkaar Sama,Male,60,1966-04-06,Married,Diploma,Doctor,Salaried,Parikh LLC,2477463,Premium,Corporate,Salary,0,1,No,10,Inactive,2016-07-26
CUST00059,Rajeshri Bahl,Female,27,1999-04-06,Single,Graduate,Student,Salaried,Shanker-Sastry,168492,Low,Retail,Savings,2,2,No,9,Active,2017-07-26
CUST00060,Sanaya Narula,Female,53,1972-11-21,Married,Graduate,Doctor,Salaried,"Merchant, Vala and Bhatt",2267125,Premium,Corporate,Savings,0,2,Yes,15,Closed,2011-07-28
CUST00061,Ishwar Cheema,Male,32,1994-04-09,Married,Post Graduate,IT Professional,Salaried,Lanka LLC,1041193,High,Platinum,Premium,0,4,Yes,2,Active,2024-07-24
CUST00062,Hemangini Madan,Female,32,1993-12-14,Single,Post Graduate,Banker,Salaried,Sami Ltd,1118814,High,Platinum,Premium,0,5,No,11,Active,2015-07-27
CUST00063,Tanmayi Dixit,Female,39,1987-01-24,Single,Graduate,IT Professional,Salaried,"Varma, Talwar and Narain",762250,Middle,Gold,Savings,4,0,Yes,14,Active,2012-07-27
CUST00064,Maya Bhandari,Female,37,1988-12-24,Married,Graduate,IT Professional,Salaried,"Goswami, Sandal and Bora",1012425,High,Platinum,Savings,0,3,Yes,11,Active,2015-07-27
CUST00065,Abhiram Chakrabarti,Male,48,1978-01-10,Married,High School,IT Professional,Salaried,Chacko-Kapadia,1216841,High,Platinum,Savings,0,4,No,24,Active,2002-07-30
CUST00066,Kevin Dara,Male,67,1959-07-19,Married,Graduate,Teacher,Salaried,Apte-Nori,482689,Low,Retail,Savings,1,5,Yes,25,Active,2001-07-30
CUST00067,Krish Dayal,Male,43,1982-12-09,Single,Diploma,Teacher,Salaried,Vyas Ltd,528981,Middle,Gold,Savings,0,5,No,16,Active,2010-07-28
CUST00068,Dayamai Edwin,Female,47,1979-02-19,Single,Graduate,Self-Employed,Self-Employed,Bedi-Golla,1388916,High,Platinum,Salary,2,1,No,13,Active,2013-07-27
CUST00069,Nachiket Mody,Male,45,1981-02-19,Married,Graduate,IT Professional,Salaried,"Jha, Mann and Sehgal",758969,Middle,Gold,Salary,0,3,No,7,Active,2019-07-26
CUST00070,Krishna Palan,Male,42,1983-08-24,Married,Graduate,Banker,Salaried,Krishna Inc,1004591,High,Platinum,Current,0,4,No,10,Active,2016-07-26
CUST00071,Adya Tiwari,Female,32,1994-03-28,Married,Diploma,Teacher,Salaried,"Gupta, Varkey and Soman",672270,Middle,Gold,Savings,0,1,Yes,3,Active,2023-07-25
CUST00072,Udant Cherian,Male,42,1984-07-16,Married,Graduate,Self-Employed,Self-Employed,"Sankaran, Talwar and Ramaswamy",1565200,High,Platinum,Premium,3,1,Yes,2,Active,2024-07-24
CUST00073,Janaki Karpe,Female,59,1967-05-01,Single,Diploma,Self-Employed,Self-Employed,Issac-Dey,1283361,High,Platinum,Savings,1,0,Yes,25,Active,2001-07-30
CUST00074,Prisha Bhagat,Female,38,1988-07-14,Married,High School,Doctor,Salaried,Atwal Inc,1715306,High,Platinum,Salary,3,0,No,20,Active,2006-07-29
CUST00075,Tanveer Gade,Male,48,1978-06-27,Married,Post Graduate,Business Owner,Business,Chad Ltd,1843517,High,Platinum,Savings,1,1,Yes,13,Active,2013-07-27
CUST00076,Zehaan Manda,Male,35,1991-03-10,Married,Graduate,IT Professional,Salaried,"Kibe, Memon and Bath",1122482,High,Platinum,Current,1,2,Yes,14,Active,2012-07-27
CUST00077,George Dugar,Male,67,1958-12-31,Single,Graduate,Self-Employed,Self-Employed,Sehgal-Aggarwal,1252476,High,Platinum,Current,2,1,Yes,15,Active,2011-07-28
CUST00078,Qabil Narasimhan,Male,58,1968-01-17,Married,Graduate,Engineer,Salaried,"Naik, Konda and Banerjee",937276,Middle,Gold,Savings,0,1,Yes,10,Active,2016-07-26
CUST00079,Ikbal Parikh,Male,58,1968-04-28,Married,Post Graduate,IT Professional,Salaried,Agarwal LLC,1212911,High,Platinum,Savings,3,3,Yes,20,Inactive,2006-07-29
CUST00080,Chakrika Soman,Female,59,1967-05-18,Married,Post Graduate,Government Employee,Government,Thakkar-Iyer,818186,Middle,Gold,Savings,0,1,Yes,16,Active,2010-07-28
CUST00081,Zayyan Ahluwalia,Male,39,1987-06-01,Married,PhD,Self-Employed,Self-Employed,Lalla Inc,1098668,High,Platinum,Current,1,5,No,21,Active,2005-07-29
CUST00082,Sudiksha Barman,Female,45,1980-09-17,Single,Graduate,Teacher,Salaried,Bajaj-Mistry,474777,Low,Retail,Savings,1,3,Yes,12,Active,2014-07-27
CUST00083,Kamala Chad,Female,43,1983-04-06,Married,Graduate,Self-Employed,Self-Employed,"Wadhwa, Dubey and Ramachandran",1562312,High,Platinum,Current,0,1,No,13,Active,2013-07-27
CUST00084,Yug Doctor,Male,41,1984-11-15,Married,High School,IT Professional,Salaried,Dhillon-Bassi,1217948,High,Platinum,Savings,1,0,No,23,Active,2003-07-30
CUST00085,Yashawini Dewan,Female,23,2003-06-27,Single,PhD,Banker,Salaried,"Thaman, Babu and Karpe",1031194,High,Platinum,Savings,0,1,Yes,5,Active,2021-07-25
CUST00086,Alexander Barman,Male,54,1972-05-17,Married,Graduate,Student,Salaried,Patel Inc,193291,Low,Retail,Savings,0,2,Yes,16,Active,2010-07-28
CUST00087,Upkaar Bedi,Male,31,1995-05-11,Married,Diploma,Teacher,Salaried,"Bahl, Wali and Konda",513052,Middle,Gold,Current,0,4,Yes,9,Active,2017-07-26
CUST00088,Kevin Aggarwal,Male,62,1963-10-29,Married,Graduate,Student,Salaried,Boase-Thakur,171219,Low,Retail,Salary,2,2,No,13,Active,2013-07-27
CUST00089,Bachittar Som,Male,30,1996-02-13,Single,Graduate,IT Professional,Salaried,Borde-Lanka,1121541,High,Platinum,Savings,0,5,No,12,Active,2014-07-27
CUST00090,Ishanvi Kashyap,Female,33,1993-03-06,Married,Graduate,Business Owner,Business,"Sharma, Tak and Raja",2942116,Premium,Corporate,Savings,1,0,Yes,8,Active,2018-07-26
CUST00091,Wakeeta Mani,Female,37,1988-11-08,Married,Diploma,Business Owner,Business,Issac Inc,2537600,Premium,Corporate,Savings,2,1,Yes,19,Active,2007-07-29
CUST00092,Oni Kumar,Female,51,1974-12-19,Married,Graduate,Self-Employed,Self-Employed,"Modi, Deol and Arora",1523152,High,Platinum,Savings,4,0,No,9,Active,2017-07-26
CUST00093,Bhavani Sunder,Female,47,1978-11-13,Married,Diploma,Student,Salaried,Chaudhary-Kalla,148752,Low,Retail,Salary,0,1,Yes,13,Inactive,2013-07-27
CUST00094,Maanav Varty,Male,47,1978-09-03,Single,High School,IT Professional,Salaried,Shetty-Shukla,1048364,High,Platinum,Salary,1,4,Yes,21,Active,2005-07-29
CUST00095,Daniel Iyengar,Male,48,1977-12-04,Married,High School,Self-Employed,Self-Employed,Chada-Solanki,1496534,High,Platinum,Savings,1,1,Yes,24,Closed,2002-07-30
CUST00096,Maanav Shanker,Male,49,1977-06-03,Married,Graduate,Government Employee,Government,Toor Group,915040,Middle,Gold,Salary,1,5,No,9,Active,2017-07-26
CUST00097,Sara Kadakia,Female,69,1957-03-12,Married,PhD,Doctor,Salaried,Borde PLC,2390448,Premium,Corporate,Savings,3,5,Yes,9,Inactive,2017-07-26
CUST00098,Ekta Viswanathan,Female,37,1989-01-15,Married,Diploma,Student,Salaried,Parsa-Deo,212115,Low,Retail,Salary,2,4,No,19,Active,2007-07-29
CUST00099,Daksh Patla,Male,21,2005-07-16,Single,Graduate,Banker,Salaried,Tank Group,913763,Middle,Gold,Savings,0,4,Yes,3,Active,2023-07-25
CUST00100,Advik Dutt,Male,24,2002-06-03,Single,High School,Student,Salaried,Swamy Ltd,181245,Low,Retail,Savings,0,1,Yes,1,Active,2025-07-24
CUST00101,Tanmayi Mittal,Female,26,1999-10-02,Single,Post Graduate,IT Professional,Salaried,"Dhaliwal, Saha and Padmanabhan",1235467,High,Platinum,Salary,0,5,No,8,Active,2018-07-26
CUST00102,Nakul Dara,Male,28,1998-07-14,Single,Post Graduate,Student,Salaried,Agarwal-Nair,225405,Low,Retail,Savings,1,2,No,10,Active,2016-07-26
CUST00103,Rushil Dar,Male,54,1972-04-24,Married,Diploma,Teacher,Salaried,Arora Ltd,505270,Middle,Gold,Premium,2,2,No,2,Active,2024-07-24
CUST00104,Lajita Pradhan,Female,43,1983-03-10,Married,High School,Engineer,Salaried,Ramaswamy Group,902589,Middle,Gold,Current,1,0,Yes,12,Active,2014-07-27
CUST00105,Radha Sangha,Female,46,1980-03-10,Married,High School,Doctor,Salaried,Bava-Mand,2263155,Premium,Corporate,Premium,0,0,No,1,Active,2025-07-24
CUST00106,Ati Mangal,Female,68,1957-10-11,Married,Post Graduate,Teacher,Salaried,"Dixit, Krish and Lata",683160,Middle,Gold,Savings,3,1,No,7,Active,2019-07-26
CUST00107,Yashodhara Mutti,Female,55,1970-11-29,Single,Graduate,Self-Employed,Self-Employed,Prakash Group,1412111,High,Platinum,Savings,3,5,Yes,13,Active,2013-07-27
CUST00108,Sudiksha Jani,Female,39,1987-03-01,Married,Post Graduate,Business Owner,Business,"Buch, Bawa and Roy",2260682,Premium,Corporate,Current,3,1,Yes,8,Active,2018-07-26
CUST00109,Ekapad Mangat,Male,30,1995-12-14,Married,Graduate,IT Professional,Salaried,Bawa-Datta,956950,Middle,Gold,Current,0,2,No,12,Active,2014-07-27
CUST00110,Vrishti Sachdeva,Female,44,1982-03-21,Married,Graduate,Self-Employed,Self-Employed,Manda-Mishra,1071307,High,Platinum,Savings,2,4,No,8,Active,2018-07-26
CUST00111,Kalpit Ravi,Male,32,1994-06-10,Married,Graduate,IT Professional,Salaried,"Khare, Mitra and Subramanian",801518,Middle,Gold,Savings,2,3,No,10,Active,2016-07-26
CUST00112,Dipta Ganesh,Female,28,1998-04-17,Single,Post Graduate,Engineer,Salaried,"Edwin, Borde and Johal",686434,Middle,Gold,Current,1,4,No,10,Active,2016-07-26
CUST00113,Imaran Sethi,Male,47,1979-01-10,Married,Diploma,Self-Employed,Self-Employed,Sengupta-Sane,1464836,High,Platinum,Salary,1,1,Yes,21,Active,2005-07-29
CUST00114,Inaya Kohli,Female,42,1984-02-25,Married,Graduate,Student,Salaried,Ghosh LLC,170178,Low,Retail,Savings,1,2,No,23,Active,2003-07-30
CUST00115,Nathaniel Khare,Male,61,1964-11-16,Married,Post Graduate,IT Professional,Salaried,Kuruvilla-Jaggi,1073424,High,Platinum,Current,2,0,Yes,13,Active,2013-07-27
CUST00116,Samuel Rajagopal,Male,52,1974-04-26,Married,High School,Business Owner,Business,Viswanathan-Kade,2474166,Premium,Corporate,Salary,0,2,No,17,Active,2009-07-28
CUST00117,Lopa Nigam,Female,33,1992-08-16,Married,Graduate,Retired,Salaried,Tara LLC,556858,Middle,Gold,Salary,0,2,No,15,Active,2011-07-28
CUST00118,Dev Thakur,Male,41,1984-12-31,Married,Graduate,Business Owner,Business,"Kalita, Chanda and Madan",1904221,High,Platinum,Savings,3,4,Yes,13,Closed,2013-07-27
CUST00119,Sanaya Ratta,Female,42,1984-05-11,Married,Post Graduate,Self-Employed,Self-Employed,"Sehgal, Sankaran and Muni",1416694,High,Platinum,Savings,2,1,No,18,Active,2008-07-28
CUST00120,Eesha Bali,Female,57,1969-01-08,Married,Diploma,Business Owner,Business,Solanki-Suri,1925219,High,Platinum,Current,2,1,No,12,Active,2014-07-27
CUST00121,Bina Raman,Female,69,1956-08-28,Married,High School,Banker,Salaried,"Sidhu, Sen and Kothari",774981,Middle,Gold,Savings,0,3,No,10,Active,2016-07-26
CUST00122,Isaac Dubey,Male,64,1962-05-23,Single,Post Graduate,IT Professional,Salaried,Vig Ltd,1167065,High,Platinum,Premium,1,2,Yes,5,Active,2021-07-25
CUST00123,Veer Chada,Male,27,1999-03-03,Single,Diploma,IT Professional,Salaried,"Baral, Agarwal and Dass",797075,Middle,Gold,Savings,1,1,Yes,9,Inactive,2017-07-26
CUST00124,Anjali Modi,Female,31,1994-08-14,Married,Post Graduate,Government Employee,Government,Krishnamurthy PLC,935443,Middle,Gold,Current,0,5,Yes,10,Active,2016-07-26
CUST00125,Dayita Chaudhary,Female,41,1985-06-05,Married,Diploma,Doctor,Salaried,Mital PLC,1590485,High,Platinum,Savings,1,1,No,2,Active,2024-07-24
CUST00126,Rishi Lal,Male,47,1979-08-02,Married,Diploma,Government Employee,Government,Agarwal Inc,768994,Middle,Gold,Savings,0,3,Yes,15,Active,2011-07-28
CUST00127,Victor Mallick,Male,49,1977-07-26,Married,Graduate,Retired,Salaried,Kibe-Soman,449223,Low,Retail,Premium,1,1,Yes,17,Active,2009-07-28
CUST00128,Jatin Balakrishnan,Male,29,1997-06-13,Single,Diploma,Engineer,Salaried,Mohanty-Bhakta,948024,Middle,Gold,Current,0,2,No,7,Active,2019-07-26
CUST00129,Gunbir Tara,Male,36,1990-02-02,Single,Graduate,Business Owner,Business,"Salvi, Bumb and Kurian",2118641,Premium,Corporate,Salary,1,0,No,7,Active,2019-07-26
CUST00130,Unnati Prabhakar,Female,29,1996-09-09,Married,PhD,Engineer,Salaried,Tailor Inc,962689,Middle,Gold,Savings,0,2,Yes,11,Active,2015-07-27
CUST00131,Shivansh Patil,Male,65,1960-10-02,Single,High School,Business Owner,Business,"Randhawa, Hora and Ahuja",2477617,Premium,Corporate,Savings,1,5,Yes,5,Active,2021-07-25
CUST00132,Yashawini Bir,Female,42,1984-05-06,Married,High School,IT Professional,Salaried,Tandon and Sons,1138248,High,Platinum,Premium,0,1,No,21,Active,2005-07-29
CUST00133,Gunbir Kashyap,Male,37,1988-12-30,Married,High School,Business Owner,Business,Kant-Lanka,2523328,Premium,Corporate,Premium,1,0,Yes,16,Active,2010-07-28
CUST00134,Chatura Tandon,Male,50,1976-01-11,Married,High School,Engineer,Salaried,"Grover, Kapoor and Sundaram",981905,Middle,Gold,Premium,1,3,Yes,5,Active,2021-07-25
CUST00135,Ayaan Dhingra,Male,64,1961-09-23,Married,High School,Government Employee,Government,Bhagat-Kala,611101,Middle,Gold,Premium,0,0,Yes,3,Active,2023-07-25
CUST00136,Ekavir Sagar,Male,46,1979-12-18,Married,High School,IT Professional,Salaried,Bhasin and Sons,1137972,High,Platinum,Salary,2,0,No,5,Active,2021-07-25
CUST00137,Varenya Murthy,Female,42,1984-03-26,Single,High School,IT Professional,Salaried,"Chowdhury, Buch and Gandhi",752697,Middle,Gold,Current,2,0,No,22,Active,2004-07-29
CUST00138,Ikshita Goyal,Female,31,1994-11-25,Married,Diploma,Retired,Salaried,"Vohra, Sibal and Balay",556496,Middle,Gold,Savings,0,0,No,6,Closed,2020-07-25
CUST00139,Ranbir Prakash,Male,57,1968-12-06,Married,Post Graduate,Retired,Salaried,Savant-Gara,571848,Middle,Gold,Salary,0,4,No,10,Inactive,2016-07-26
CUST00140,Aadhya Brar,Female,22,2004-05-13,Single,Graduate,Teacher,Salaried,Buch-Panchal,528568,Middle,Gold,Current,0,3,Yes,4,Active,2022-07-25
CUST00141,David Johal,Male,21,2005-03-17,Single,Diploma,IT Professional,Salaried,Parikh-More,1217121,High,Platinum,Current,0,1,Yes,2,Active,2024-07-24
CUST00142,Chameli Bawa,Female,58,1967-08-23,Single,Graduate,Business Owner,Business,"Solanki, Hayre and Pradhan",2472775,Premium,Corporate,Savings,0,5,Yes,13,Active,2013-07-27
CUST00143,Gopal Naik,Male,40,1985-08-06,Married,Diploma,Banker,Salaried,Som-Balasubramanian,1019999,High,Platinum,Savings,1,2,Yes,3,Active,2023-07-25
CUST00144,Krishna Ravel,Female,64,1961-11-15,Married,Graduate,Doctor,Salaried,Prashad Inc,1669709,High,Platinum,Savings,0,4,No,23,Active,2003-07-30
CUST00145,Azad Bhatia,Male,30,1996-07-09,Single,Graduate,Self-Employed,Self-Employed,Hayer-Bhatnagar,1227601,High,Platinum,Savings,0,4,Yes,3,Active,2023-07-25
CUST00146,Pratyush Magar,Male,23,2003-07-13,Single,Diploma,Self-Employed,Self-Employed,Bassi-Lala,1367141,High,Platinum,Salary,0,2,No,5,Active,2021-07-25
CUST00147,Lakshit Mishra,Male,47,1978-09-28,Single,Diploma,IT Professional,Salaried,Bhattacharyya Inc,828534,Middle,Gold,Savings,0,0,No,3,Inactive,2023-07-25
CUST00148,Chatresh Soman,Male,67,1959-07-09,Single,Graduate,Student,Salaried,"Shroff, Raju and Krishnamurthy",220288,Low,Retail,Savings,1,5,Yes,11,Closed,2015-07-27
CUST00149,Xiti Deo,Female,40,1985-12-17,Single,Diploma,Doctor,Salaried,Goswami-Anand,2218368,Premium,Corporate,Savings,3,0,Yes,9,Active,2017-07-26
CUST00150,Faqid Keer,Male,56,1969-08-09,Married,Post Graduate,Engineer,Salaried,Nagarajan-Sharma,731538,Middle,Gold,Savings,3,5,No,1,Active,2025-07-24
CUST00151,Balveer Vala,Male,49,1976-12-07,Married,Diploma,IT Professional,Salaried,Ramanathan and Sons,979909,Middle,Gold,Savings,2,5,Yes,8,Active,2018-07-26
