Employee_ID,Employee_Name,Gender,Designation,Department,Branch_ID,Experience_Years,Performance_Rating,Salary,Joining_Date,Employment_Status
EMP0026,Yagnesh Goel,Male,Sales Executive,Sales,BR091,24,4.3,796281,2002-02-06,Active
EMP0027,Vanya Upadhyay,Female,Sales Executive,Sales,BR147,14,4.9,643298,2011-11-15,Active
EMP0028,Ekaja Saini,Female,Loan Officer,Retail Banking,BR030,1,4.0,613289,2024-08-31,Resigned
EMP0029,Devika Rana,Female,Credit Analyst,Risk,BR113,13,4.8,1371776,2012-12-05,Active
EMP0030,Hitesh Acharya,Male,Senior Loan Officer,Retail Banking,BR006,17,2.6,1386529,2008-11-24,Active
EMP0031,Max Bahri,Male,Loan Officer,Retail Banking,BR095,20,4.2,1037149,2006-07-24,Active
EMP0032,Girik Ramesh,Male,Senior Loan Officer,Retail Banking,BR128,25,4.8,1625396,2000-12-16,Active
EMP0033,Anvi Dhingra,Female,Loan Officer,Retail Banking,BR226,9,3.0,814090,2017-04-15,Active
EMP0034,Timothy Kuruvilla,Male,Senior Loan Officer,Retail Banking,BR215,11,3.0,1109511,2015-01-29,Active
EMP0035,Nitesh Minhas,Male,Credit Analyst,Risk,BR071,9,4.6,1113075,2016-11-27,On Leave
EMP0036,Bina Borde,Female,Loan Officer,Retail Banking,BR116,17,3.7,945257,2008-09-12,Active
EMP0037,Hemang Kibe,Male,Loan Officer,Retail Banking,BR091,20,2.6,1083395,2005-10-10,Active
EMP0038,Qarin Prabhu,Male,Branch Manager,Management,BR061,13,3.6,1886810,2013-03-13,Active
EMP0039,Devansh Sule,Male,Regional Manager,Management,BR164,4,3.6,2528046,2021-08-24,Active
EMP0040,Reyansh Goswami,Male,Credit Analyst,Risk,BR194,7,4.6,1093414,2019-07-21,Active
EMP0041,Nachiket Kari,Male,Relationship Manager,Retail Banking,BR129,9,4.4,1088068,2016-11-02,Active
EMP0042,Girish Dutt,Male,Loan Officer,Retail Banking,BR034,23,4.8,1007809,2003-01-13,Active
EMP0043,Rishi Subramanian,Male,Branch Manager,Management,BR204,1,3.4,1566263,2024-11-09,Active
EMP0044,Ucchal Batta,Female,Loan Officer,Retail Banking,BR237,21,5.0,974520,2004-09-04,Active
EMP0045,Chatura Barad,Male,Loan Officer,Retail Banking,BR203,13,5.0,989758,2012-10-26,On Leave
EMP0046,Kashvi Ramanathan,Female,Sales Executive,Sales,BR088,1,3.4,472025,2024-12-11,Active
EMP0047,Ucchal Swaminathan,Female,Loan Officer,Retail Banking,BR205,1,3.0,718714,2024-12-17,Active
EMP0048,Yoshita Gill,Female,Credit Analyst,Risk,BR216,5,3.7,1201711,2020-11-02,Active
EMP0049,Edhitha Kari,Female,Sales Executive,Sales,BR113,16,3.9,767981,2010-04-06,Active
EMP0050,Bina Mammen,Female,Operations Executive,Operations,BR066,18,4.1,850859,2007-10-16,Active
EMP0051,Ishani Babu,Female,Regional Manager,Management,BR135,20,3.0,3766942,2005-10-24,Active
EMP0052,Lipika Sabharwal,Female,Loan Officer,Retail Banking,BR008,18,2.8,901888,2008-01-17,Active
EMP0053,Jeet Bhasin,Male,Senior Loan Officer,Retail Banking,BR126,13,3.9,1373448,2013-05-26,Active
EMP0054,Gaurang Manda,Male,Relationship Manager,Retail Banking,BR069,18,3.6,1419160,2008-01-04,Active
EMP0055,Zilmil Deep,Female,Relationship Manager,Retail Banking,BR135,14,4.8,1312175,2011-11-27,Active
EMP0056,Pratyush Devi,Male,Loan Officer,Retail Banking,BR010,1,4.8,619884,2025-07-13,Active
EMP0057,Noah Vig,Male,Relationship Manager,Retail Banking,BR128,10,3.3,1073031,2015-09-13,Active
EMP0058,Anay Badami,Male,Sales Executive,Sales,BR225,20,3.1,751636,2005-10-31,Active
EMP0059,Rachita Muni,Female,Branch Manager,Management,BR137,17,4.0,2282297,2008-09-08,Active
EMP0060,Advaith Borde,Male,Sales Executive,Sales,BR208,20,4.0,741834,2005-09-11,Active
EMP0061,Bahadurjit Mukhopadhyay,Male,Loan Officer,Retail Banking,BR228,11,4.7,811711,2015-04-19,Active
EMP0062,Ekansh Bora,Male,Relationship Manager,Retail Banking,BR140,3,3.1,851827,2022-12-22,Active
EMP0063,Upkaar Pillai,Male,Loan Officer,Retail Banking,BR146,21,4.2,957313,2005-04-18,Active
EMP0064,Eiravati Om,Female,Relationship Manager,Retail Banking,BR214,17,4.1,1243325,2008-08-11,Active
EMP0065,Brijesh Solanki,Male,Loan Officer,Retail Banking,BR232,1,2.6,676418,2024-11-03,Active
EMP0066,Sathvik Balan,Male,Relationship Manager,Retail Banking,BR238,4,3.0,1016776,2022-03-03,Active
EMP0067,Abhimanyu Raja,Male,Relationship Manager,Retail Banking,BR101,22,3.7,1485704,2004-02-13,Active
EMP0068,Abha Bora,Female,Loan Officer,Retail Banking,BR217,20,3.4,1067873,2006-07-09,Active
EMP0069,Chandani D’Alia,Female,Loan Officer,Retail Banking,BR043,24,3.4,1212328,2001-09-24,Active
EMP0070,Sathvik Narayanan,Male,Loan Officer,Retail Banking,BR241,3,4.5,737501,2022-09-06,Active
EMP0071,Veer Sastry,Male,Senior Loan Officer,Retail Banking,BR191,11,4.5,1139128,2015-05-29,Active
EMP0072,Benjamin Venkataraman,Male,Operations Executive,Operations,BR178,13,2.8,738493,2012-10-25,Active
EMP0073,Nilima Chahal,Female,Operations Executive,Operations,BR078,13,3.0,716308,2013-02-03,Active
EMP0074,Advay Karpe,Male,Sales Executive,Sales,BR242,21,4.8,741579,2005-03-12,Resigned
EMP0075,Yadavi Sunder,Female,Loan Officer,Retail Banking,BR100,22,3.5,1010367,2004-06-20,Active
EMP0076,Aashi Pillai,Female,Branch Manager,Management,BR006,23,2.8,2481954,2002-10-09,Active
EMP0077,Ekbal Jain,Male,Credit Analyst,Risk,BR166,9,3.6,1207648,2017-04-17,Active
EMP0078,Onveer Sathe,Male,Loan Officer,Retail Banking,BR107,9,4.8,833764,2016-11-08,Resigned
EMP0079,Jai Narain,Male,Branch Manager,Management,BR099,21,2.7,2492695,2005-07-06,On Leave
EMP0080,Jeremiah Issac,Male,Loan Officer,Retail Banking,BR015,6,4.6,773435,2019-09-24,Active
EMP0081,Irya Kala,Female,Loan Officer,Retail Banking,BR074,17,3.5,944673,2008-10-30,Active
EMP0082,Januja Nadig,Female,Senior Loan Officer,Retail Banking,BR004,10,4.2,1227973,2016-07-13,Active
EMP0083,Ekansh Desai,Male,Branch Manager,Management,BR192,14,4.4,2083121,2012-02-17,Active
EMP0084,Pushti Baria,Female,Relationship Manager,Retail Banking,BR012,8,3.6,1049279,2018-03-24,Active
EMP0085,Manya Gara,Female,Relationship Manager,Retail Banking,BR107,8,4.0,972861,2017-09-10,Active
EMP0086,Umang Sinha,Male,Sales Executive,Sales,BR036,12,3.8,628908,2013-12-13,Active
EMP0087,Jalsa Sachdev,Female,Branch Manager,Management,BR209,21,4.0,2405651,2004-10-31,Resigned
EMP0088,Yoshita Tak,Female,Credit Analyst,Risk,BR201,8,3.7,1178694,2018-02-18,Active
EMP0089,Varsha Nagi,Female,Loan Officer,Retail Banking,BR049,20,4.2,1053497,2005-09-30,Active
EMP0090,Amol Mall,Male,Relationship Manager,Retail Banking,BR225,8,3.8,1086239,2018-04-17,Active
EMP0091,Logan Pandya,Male,Relationship Manager,Retail Banking,BR057,9,3.6,1106131,2017-06-04,Active
EMP0092,Aditya Deshpande,Male,Operations Executive,Operations,BR124,22,2.9,864566,2004-01-20,Active
EMP0093,Utkarsh Gupta,Male,Loan Officer,Retail Banking,BR206,16,4.4,1027137,2010-06-20,Active
EMP0094,Kiaan Khanna,Male,Loan Officer,Retail Banking,BR040,24,3.1,1187288,2002-01-23,Active
EMP0095,Arunima D’Alia,Female,Loan Officer,Retail Banking,BR168,25,4.4,1233237,2000-12-24,Active
EMP0096,Chatura Wason,Male,Loan Officer,Retail Banking,BR146,11,2.7,792404,2014-10-12,Active
EMP0097,Brinda Hora,Female,Loan Officer,Retail Banking,BR155,25,2.5,1094308,2000-08-26,Active
EMP0098,Vyanjana Kunda,Female,Loan Officer,Retail Banking,BR057,25,4.2,1088113,2001-05-18,Active
EMP0099,Aashi Sodhi,Female,Loan Officer,Retail Banking,BR236,4,3.3,719406,2021-09-24,On Leave
EMP0100,Hemal Kara,Female,Loan Officer,Retail Banking,BR064,10,3.6,797885,2015-11-05,Active
EMP0101,Prisha Zacharia,Female,Relationship Manager,Retail Banking,BR190,22,3.5,1379275,2004-04-21,Active
EMP0102,Shravya Kapur,Female,Senior Loan Officer,Retail Banking,BR226,19,3.9,1321604,2006-12-09,Active
EMP0103,Samesh Rama,Male,Loan Officer,Retail Banking,BR167,2,3.9,698296,2024-07-13,Active
EMP0104,Varenya Setty,Female,Relationship Manager,Retail Banking,BR021,18,3.3,1320900,2008-02-08,Active
EMP0105,Aarush Puri,Male,Sales Executive,Sales,BR191,3,2.6,561735,2023-06-06,Active
EMP0106,Vedika Narain,Female,Loan Officer,Retail Banking,BR196,8,3.7,871727,2018-02-03,Active
EMP0107,Chavvi Dasgupta,Female,Loan Officer,Retail Banking,BR207,11,4.2,863404,2014-10-25,Active
EMP0108,Jairaj Ramakrishnan,Male,Loan Officer,Retail Banking,BR214,22,3.4,971934,2004-01-18,Active
EMP0109,Nilima Yadav,Female,Regional Manager,Management,BR206,21,2.6,3487064,2005-07-24,Active
EMP0110,Lekha Babu,Female,Sales Executive,Sales,BR176,8,4.4,680885,2018-01-15,Active
EMP0111,Zayyan Butala,Male,Loan Officer,Retail Banking,BR121,17,3.2,1073713,2009-06-28,Active
EMP0112,Thomas Oommen,Male,Loan Officer,Retail Banking,BR193,5,4.4,699575,2021-06-24,Active
EMP0113,Mahika Sura,Female,Sales Executive,Sales,BR056,2,3.3,497948,2024-01-23,Active
EMP0114,Janani Bhatt,Female,Senior Loan Officer,Retail Banking,BR045,8,3.6,1204057,2018-01-01,On Leave
EMP0115,Anika Ghose,Female,Branch Manager,Management,BR235,18,3.7,2199334,2008-01-04,Resigned
EMP0116,Ekaraj Singhal,Male,Loan Officer,Retail Banking,BR206,8,3.5,760448,2018-05-19,Active
EMP0117,Yauvani Vasa,Female,Operations Executive,Operations,BR224,2,4.1,552405,2024-07-19,Active
EMP0118,Xiti Chadha,Female,Loan Officer,Retail Banking,BR107,8,4.3,823099,2018-05-07,Active
EMP0119,Urvashi Vyas,Female,Relationship Manager,Retail Banking,BR069,17,2.8,1345537,2008-09-14,Active
EMP0120,Fitan Virk,Male,Relationship Manager,Retail Banking,BR211,25,2.9,1399529,2001-05-15,Active
EMP0121,Nimrat Raj,Female,Loan Officer,Retail Banking,BR120,23,3.8,1184107,2002-08-09,Active
EMP0122,Nidra Dhaliwal,Female,Relationship Manager,Retail Banking,BR201,7,3.5,1114227,2019-06-10,Active
EMP0123,Yuvraj Iyer,Male,Relationship Manager,Retail Banking,BR081,14,3.8,1124332,2012-02-19,Active
EMP0124,Dakshesh Thakur,Male,Senior Loan Officer,Retail Banking,BR176,15,4.2,1191997,2011-06-20,Active
EMP0125,Saanvi Bala,Female,Credit Analyst,Risk,BR114,24,4.9,1741759,2001-08-30,Active
EMP0126,Yauvani Rattan,Female,Credit Analyst,Risk,BR198,16,3.1,1424029,2009-12-06,Active
EMP0127,Yatan Chander,Male,Sales Executive,Sales,BR192,5,3.2,560738,2020-10-22,Active
EMP0128,Bhavini Yohannan,Female,Operations Executive,Operations,BR097,18,4.2,805742,2008-04-17,Active
EMP0129,Triveni Raval,Female,Loan Officer,Retail Banking,BR115,9,3.9,862448,2017-02-07,Active
EMP0130,Jatin Solanki,Male,Relationship Manager,Retail Banking,BR046,20,2.7,1408333,2005-08-01,Active
EMP0131,Eesha Nori,Female,Relationship Manager,Retail Banking,BR009,15,4.0,1131459,2011-04-03,Active
EMP0132,Wazir Vohra,Male,Loan Officer,Retail Banking,BR238,25,2.7,1233190,2000-12-24,Active
EMP0133,Chatura Handa,Male,Operations Executive,Operations,BR160,23,3.5,898159,2002-12-31,Active
EMP0134,Amruta Lad,Female,Branch Manager,Management,BR156,11,5.0,2110578,2014-08-23,Active
EMP0135,Alka Banik,Female,Loan Officer,Retail Banking,BR097,11,3.3,854339,2014-10-15,Active
EMP0136,Garima Karan,Female,Operations Executive,Operations,BR232,4,4.0,573907,2021-10-23,Active
EMP0137,Lucky Nagy,Male,Loan Officer,Retail Banking,BR239,17,3.8,996056,2009-04-18,Active
EMP0138,Jason Tara,Male,Senior Loan Officer,Retail Banking,BR035,1,4.1,870990,2025-06-12,Active
EMP0139,Yahvi Das,Female,Credit Analyst,Risk,BR119,11,2.7,1357633,2015-03-13,Active
EMP0140,Ira Wali,Female,Regional Manager,Management,BR144,5,3.1,2565078,2020-10-19,Active
EMP0141,Alka Prashad,Female,Relationship Manager,Retail Banking,BR038,24,5.0,1554840,2001-09-26,Active
EMP0142,Fariq Yohannan,Male,Loan Officer,Retail Banking,BR048,12,3.1,897009,2014-05-04,Active
EMP0143,Ikbal Wagle,Male,Loan Officer,Retail Banking,BR036,13,3.0,991502,2012-08-24,Active
EMP0144,Ekanta Kaul,Female,Branch Manager,Management,BR106,21,4.5,2208494,2005-04-18,Active
EMP0145,Gautam Mutti,Male,Senior Loan Officer,Retail Banking,BR034,4,3.9,942215,2021-11-01,Active
EMP0146,Indali Kamdar,Female,Relationship Manager,Retail Banking,BR246,2,4.3,952809,2023-12-31,Active
EMP0147,Chanakya Desai,Male,Loan Officer,Retail Banking,BR195,14,4.7,999250,2011-10-12,Active
EMP0148,Ekaja Chakrabarti,Female,Loan Officer,Retail Banking,BR212,15,4.6,1009426,2010-12-31,Active
EMP0149,Rishi Chatterjee,Male,Sales Executive,Sales,BR232,17,3.3,758122,2008-12-25,Active
EMP0150,Shivansh Date,Male,Loan Officer,Retail Banking,BR083,20,4.8,1088257,2005-09-27,Active
EMP0151,Tamanna Badami,Female,Sales Executive,Sales,BR129,3,3.1,582537,2023-03-23,Active
EMP0152,Harish Parmar,Male,Loan Officer,Retail Banking,BR169,4,3.8,690019,2022-02-19,Active
EMP0153,Dalbir Tiwari,Male,Sales Executive,Sales,BR108,24,4.9,888500,2001-10-24,Active
EMP0154,Zayan Gulati,Male,Loan Officer,Retail Banking,BR026,24,3.6,1033630,2002-06-24,Active
EMP0155,Wridesh Cherian,Male,Relationship Manager,Retail Banking,BR063,18,3.9,1296744,2008-02-28,Active
EMP0156,Anirudh Varma,Male,Loan Officer,Retail Banking,BR102,3,3.6,701420,2022-10-27,Active
EMP0157,Ethan Gupta,Male,Relationship Manager,Retail Banking,BR128,1,3.6,842893,2025-02-08,Active
EMP0158,Deepa Jani,Female,Sales Executive,Sales,BR051,7,3.2,656140,2019-06-26,Active
EMP0159,Gaurangi Mandal,Female,Sales Executive,Sales,BR052,1,2.9,554110,2024-10-11,Active
EMP0160,Azaan Desai,Male,Relationship Manager,Retail Banking,BR247,2,4.1,866055,2024-02-15,On Leave
EMP0161,Brinda Chatterjee,Female,Credit Analyst,Risk,BR107,5,3.3,1192343,2020-12-10,Active
EMP0162,Rohan Sibal,Male,Sales Executive,Sales,BR185,4,4.3,526004,2022-04-24,Active
EMP0163,Yasti Pant,Female,Operations Executive,Operations,BR152,12,4.5,751651,2014-05-29,Active
EMP0164,Jagrati Prakash,Female,Sales Executive,Sales,BR171,6,4.2,563666,2019-09-02,Active
EMP0165,Anmol Iyer,Male,Loan Officer,Retail Banking,BR154,17,2.7,1061471,2009-07-25,Active
EMP0166,Tanvi Setty,Female,Loan Officer,Retail Banking,BR063,19,2.7,976649,2007-04-23,Active
EMP0167,Qasim Ravi,Male,Relationship Manager,Retail Banking,BR235,5,5.0,886321,2020-12-01,Active
EMP0168,Gayathri Chandran,Female,Relationship Manager,Retail Banking,BR233,16,2.7,1148309,2009-09-01,Active
EMP0169,Ojasvi Chad,Female,Operations Executive,Operations,BR176,17,3.2,884826,2008-09-07,Resigned
EMP0170,Girish Thaman,Male,Senior Loan Officer,Retail Banking,BR172,25,2.9,1609044,2001-04-01,Active
EMP0171,Leela Mammen,Female,Operations Executive,Operations,BR219,24,3.1,943941,2002-04-08,Active
EMP0172,Gauri Ravi,Female,Loan Officer,Retail Banking,BR115,7,4.0,820275,2018-10-06,Active
EMP0173,Nitesh Yohannan,Male,Loan Officer,Retail Banking,BR129,20,2.5,1039189,2005-12-19,Active
EMP0174,Upma Golla,Female,Sales Executive,Sales,BR164,1,2.7,556952,2024-10-06,Active
EMP0175,Harshil Goyal,Male,Branch Manager,Management,BR210,2,3.3,1444457,2024-02-15,Active
EMP0176,Panini Mitra,Female,Operations Executive,Operations,BR097,16,2.7,866187,2010-05-02,Active
EMP0177,Chandresh Anne,Male,Loan Officer,Retail Banking,BR081,22,4.6,1140870,2004-06-28,Active
EMP0178,Arya Kata,Female,Credit Analyst,Risk,BR194,23,4.9,1458473,2002-11-22,Active
EMP0179,Mason Nazareth,Male,Relationship Manager,Retail Banking,BR062,15,3.8,1352210,2011-07-27,Active
EMP0180,Samaksh Gopal,Male,Relationship Manager,Retail Banking,BR249,18,3.2,1289218,2008-06-19,Active
EMP0181,Robert Varma,Male,Loan Officer,Retail Banking,BR023,4,3.9,690388,2021-12-01,On Leave
EMP0182,Jalsa Dar,Female,Loan Officer,Retail Banking,BR167,20,3.0,969365,2005-10-03,Resigned
EMP0183,Alka Contractor,Female,Senior Loan Officer,Retail Banking,BR240,19,4.8,1321799,2007-01-09,Active
EMP0184,Kashish Kunda,Female,Loan Officer,Retail Banking,BR204,2,3.0,667973,2024-04-21,Active
EMP0185,Sai Thaman,Male,Loan Officer,Retail Banking,BR121,13,3.0,897665,2013-02-20,Active
EMP0186,Guneet Prashad,Male,Sales Executive,Sales,BR177,7,3.9,595220,2019-07-02,Active
EMP0187,Chavvi Kuruvilla,Female,Branch Manager,Management,BR146,17,3.0,2157338,2009-01-08,On Leave
EMP0188,Lakshit Om,Male,Loan Officer,Retail Banking,BR036,12,2.6,924323,2014-01-24,Active
EMP0189,Chandresh Saxena,Male,Relationship Manager,Retail Banking,BR084,11,4.6,1119180,2015-01-13,Active
EMP0190,Arin Raju,Male,Loan Officer,Retail Banking,BR132,20,3.1,944491,2006-05-13,Active
EMP0191,Reyansh Sodhi,Male,Loan Officer,Retail Banking,BR133,14,3.6,931119,2012-05-19,Active
EMP0192,Yachana Bhardwaj,Female,Loan Officer,Retail Banking,BR214,15,4.2,875995,2011-04-15,Active
EMP0193,Yachana Salvi,Female,Loan Officer,Retail Banking,BR075,13,3.8,877409,2013-06-05,Active
EMP0194,Ryan Muni,Male,Relationship Manager,Retail Banking,BR208,1,4.4,872492,2025-07-19,Active
EMP0195,Zilmil Mangal,Female,Credit Analyst,Risk,BR091,3,4.8,976726,2022-08-07,Active
EMP0196,Lopa Mander,Female,Loan Officer,Retail Banking,BR101,21,3.1,1122974,2005-05-29,Active
EMP0197,Amara Atwal,Female,Loan Officer,Retail Banking,BR041,11,3.2,899656,2015-04-05,On Leave
EMP0198,Ansh Dugar,Male,Loan Officer,Retail Banking,BR024,6,3.4,799568,2019-11-02,Active
EMP0199,Saumya Bera,Female,Operations Executive,Operations,BR079,16,4.0,846783,2009-10-18,Active
EMP0200,Rushil Bedi,Male,Sales Executive,Sales,BR070,4,3.4,511049,2021-12-30,Active
EMP0201,Bina Kapur,Female,Operations Executive,Operations,BR019,10,3.7,690051,2016-03-19,Active
EMP0202,Waida Krishna,Female,Loan Officer,Retail Banking,BR228,12,3.9,841903,2013-08-19,Active
EMP0203,Aradhana Virk,Female,Loan Officer,Retail Banking,BR182,11,4.9,840747,2014-10-06,On Leave
EMP0204,Vivaan Dhawan,Male,Branch Manager,Management,BR071,20,3.9,2454150,2006-06-27,Active
EMP0205,Deepa Bedi,Female,Sales Executive,Sales,BR175,13,4.9,679011,2013-05-19,Active
EMP0206,Vasatika Dalal,Female,Loan Officer,Retail Banking,BR070,16,4.9,894632,2010-04-21,Active
EMP0207,Atharv Parikh,Male,Loan Officer,Retail Banking,BR062,1,4.8,733744,2025-07-23,Active
EMP0208,David Patla,Male,Branch Manager,Management,BR068,18,4.7,2398291,2008-02-09,Active
EMP0209,Ekaraj Saha,Male,Loan Officer,Retail Banking,BR247,23,3.0,1075702,2003-05-11,Active
EMP0210,Karan Saini,Male,Relationship Manager,Retail Banking,BR095,20,4.2,1442957,2006-03-01,Active
EMP0211,Zilmil Devan,Female,Credit Analyst,Risk,BR084,18,3.7,1505793,2008-01-25,Active
EMP0212,Devansh Khare,Male,Sales Executive,Sales,BR029,3,4.5,587031,2023-02-17,Active
EMP0213,Deepa Thakur,Female,Relationship Manager,Retail Banking,BR089,20,4.7,1460593,2006-07-02,Active
EMP0214,Yashica Parmer,Female,Loan Officer,Retail Banking,BR047,21,3.1,1105212,2005-02-12,Active
EMP0215,Laban Gupta,Male,Operations Executive,Operations,BR033,5,3.9,622455,2020-07-29,Active
EMP0216,Kashvi Gupta,Female,Operations Executive,Operations,BR060,5,3.0,647829,2021-02-26,Active
EMP0217,Zayan Hayre,Male,Loan Officer,Retail Banking,BR069,23,4.9,1201853,2003-05-23,Active
EMP0218,Bhavani Andra,Female,Loan Officer,Retail Banking,BR013,22,3.5,1172522,2004-05-19,Active
EMP0219,Kai Sandal,Male,Sales Executive,Sales,BR104,7,3.2,632979,2019-05-26,Active
EMP0220,Anirudh Chaudry,Male,Operations Executive,Operations,BR205,16,2.9,743569,2009-12-16,Active
EMP0221,Maya Bora,Female,Loan Officer,Retail Banking,BR100,24,4.0,1177337,2001-10-08,Active
EMP0222,Faris Keer,Male,Senior Loan Officer,Retail Banking,BR239,5,3.6,1104104,2020-10-14,Active
EMP0223,Warhi Srinivas,Female,Loan Officer,Retail Banking,BR146,5,3.3,675627,2020-10-09,Active
EMP0224,Jagrati Nigam,Female,Loan Officer,Retail Banking,BR067,8,2.7,757817,2017-10-17,Active
EMP0225,Yug Deol,Male,Relationship Manager,Retail Banking,BR087,25,3.3,1362079,2001-04-28,Active
EMP0226,Darpan Sem,Male,Regional Manager,Management,BR102,14,3.7,3070625,2011-10-15,Active
EMP0227,Tristan Samra,Male,Senior Loan Officer,Retail Banking,BR241,22,4.6,1420027,2004-04-24,Active
EMP0228,Robert Dora,Male,Regional Manager,Management,BR046,15,3.9,3471229,2011-07-04,Active
EMP0229,Faraj Nanda,Male,Senior Loan Officer,Retail Banking,BR080,22,2.7,1451847,2003-10-19,Active
EMP0230,Hiral Sane,Female,Relationship Manager,Retail Banking,BR068,7,2.7,1000631,2018-10-30,Active
EMP0231,Chasmum Shere,Female,Loan Officer,Retail Banking,BR240,18,4.6,1054594,2008-06-07,Resigned
EMP0232,Chaaya Chacko,Female,Operations Executive,Operations,BR003,14,3.1,844985,2012-07-15,Active
EMP0233,Xavier Sheth,Male,Loan Officer,Retail Banking,BR161,24,3.4,1153097,2002-01-25,Active
EMP0234,Aarna Borra,Female,Loan Officer,Retail Banking,BR068,3,4.8,683224,2023-06-07,Active
EMP0235,Hredhaan Bumb,Male,Loan Officer,Retail Banking,BR046,24,2.8,1074282,2002-04-16,Active
EMP0236,Yug Narang,Male,Relationship Manager,Retail Banking,BR129,12,3.0,1045484,2014-01-04,Active
EMP0237,Ekbal Kanda,Male,Loan Officer,Retail Banking,BR226,18,4.6,1053350,2008-07-18,Active
EMP0238,Nihal Peri,Male,Operations Executive,Operations,BR247,4,3.9,594012,2021-11-25,On Leave
EMP0239,Ojasvi Sastry,Female,Loan Officer,Retail Banking,BR174,23,4.7,1167174,2003-06-25,Active
EMP0240,Urvashi Wagle,Female,Sales Executive,Sales,BR187,25,3.4,960657,2001-05-16,Active
EMP0241,Vasudha Nadkarni,Female,Sales Executive,Sales,BR220,2,3.0,542324,2023-12-12,Active
EMP0242,Sudiksha Varty,Female,Senior Loan Officer,Retail Banking,BR191,19,4.8,1306015,2006-08-10,Active
EMP0243,Chaman Pathak,Female,Loan Officer,Retail Banking,BR147,13,3.8,880994,2012-10-23,Active
EMP0244,Advik Patla,Male,Senior Loan Officer,Retail Banking,BR014,15,3.6,1329368,2010-09-27,On Leave
EMP0245,Rishi Hayer,Male,Senior Loan Officer,Retail Banking,BR049,11,5.0,1253975,2015-02-17,Active
EMP0246,Saumya Zachariah,Female,Relationship Manager,Retail Banking,BR060,5,4.4,1055182,2021-05-30,Active
EMP0247,Gaurang Goda,Male,Operations Executive,Operations,BR048,4,3.8,676821,2022-06-22,Active
EMP0248,Vasana Manda,Female,Loan Officer,Retail Banking,BR051,12,3.6,890421,2013-12-21,Active
EMP0249,Indrajit Varty,Male,Relationship Manager,Retail Banking,BR019,18,3.6,1376298,2008-03-27,Active
EMP0250,Fariq Merchant,Male,Operations Executive,Operations,BR208,18,4.9,773433,2008-05-12,Active
EMP0251,Siddharth Bhatt,Male,Loan Officer,Retail Banking,BR031,12,4.9,834422,2014-03-02,Active
